user_id,first_name,last_name,version,insurance_company
mhatrey0,Manda,Hatrey,6,California Physicians Service
pzylberdik1,Padgett,Zylberdik,3,Highmark Group
dscutts2,Dodi,Scutts,5,California Physicians Service
ckopisch3,Caroljean,Kopisch,7,Anthem Inc
fconfait4,Floris,Confait,3,California Physicians Service
cgowdie5,Conrad,Gowdie,7,CIGNA
pclaessens6,Paul,Claessens,7,Blue Cross Blue Shield of North Carolina
sdcosta7,Skippy,D'Costa,7,CIGNA
nmickelwright8,Nicky,Mickelwright,1,Blue Cross of California
fgascar9,Flo,Gascar,2,Kaiser Foundation
tlafonda,Tommy,Lafond,5,Blue Cross of California
nsandbrookb,Nolie,Sandbrook,3,Metropolitan
ncrippsc,Natala,Cripps,5,Blue Cross Blue Shield of North Carolina
tangeaud,Thom,Angeau,4,Kaiser Foundation
abasinigazzie,Arlina,Basini-Gazzi,9,Anthem Inc
kcromief,Kara-lynn,Cromie,3,California Physicians Service
aobriang,Annaliese,O' Brian,8,CIGNA
rweareh,Rodrigo,Weare,9,Blue Cross of California
krosgeni,Kissee,Rosgen,4,Blue Cross Blue Shield of North Carolina
ghaguej,Gerri,Hague,9,California Physicians Service
ebourk,Emmerich,Bour,5,Caresource
rboothel,Rik,Boothe,5,Highmark Group
mstoneleym,Maudie,Stoneley,9,Independence Health Group
cdolesn,Catina,Doles,2,Anthem Inc
cwavello,Cheryl,Wavell,1,Kaiser Foundation
